name,assists,bonus,bps,clean_sheets,creativity,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,start_cost,threat,total_points,yellow_cards,cost_18_19,improve
Theo_Walcott_153,3,3,226,4,234.9,66,17,3,95.9,316.6,1214,0,0,0,0,0,75,406.0,62,2,65,1
Toby_Alderweireld_331,0,3,247,5,67.8,58,13,0,36.8,249.2,1177,0,0,0,0,0,60,50.0,43,3,60,1
Tom_Davies_154,2,3,223,6,207.2,51,24,2,65.8,242.8,1892,0,0,0,0,0,55,218.0,66,7,55,0
Trent_Alexander-Arnold_182,2,10,385,8,399.2,44,17,1,90.1,358.2,1573,0,0,0,0,0,45,142.0,83,3,50,1
Troy_Deeney_362,2,7,241,6,349.4,63,30,5,125.3,343.0,1836,0,2,0,1,0,65,566.0,73,1,60,1
Victor_Lindelöf_225,0,1,297,5,37.7,49,14,0,32.0,272.8,1284,0,0,0,0,0,55,8.0,47,1,50,1
Virgil_van Dijk_183,0,5,481,8,122.6,57,28,0,100.2,601.0,2253,0,0,0,0,0,55,277.0,78,1,60,1
Wayne_Hennessey_132,0,11,506,7,10.0,44,41,0,61.4,603.8,2430,0,0,0,0,91,45,0.0,99,1,45,0
Wesley_Hoedt_485,2,11,532,5,130.9,50,42,0,93.8,661.6,2520,0,0,0,0,0,50,146.0,74,7,45,0
Wes_Morgan_165,0,1,390,5,62.0,44,52,0,75.1,530.0,2817,0,0,0,0,0,45,158.0,61,4,45,1
Wilfred_Ndidi_176,4,4,449,9,230.7,49,45,0,117.2,640.4,2896,0,0,0,2,0,50,299.0,78,6,50,1
Wilfried_Zaha_133,7,8,404,10,716.9,71,31,9,251.0,668.0,2549,0,0,0,0,0,70,1125.0,136,5,70,1
Willian_Borges Da Silva_113,8,13,522,9,891.5,70,19,6,224.5,640.0,1874,0,0,0,0,0,70,715.0,130,1,75,0
Will_Hughes_370,3,5,190,4,267.0,46,16,2,64.3,238.6,987,0,0,0,0,0,50,136.0,53,0,50,1
Xherdan_Shaqiri_194,9,19,554,6,1151.6,61,58,8,255.2,718.0,3039,0,1,0,0,0,60,676.0,155,5,75,0
